Region,Province,Commodity_Name,Unit,Year,Month,Retail_Price
CAR - Cordillera Administrative Region,Abra,"GARLIC, LOCAL",1 KG,2021,January,
CAR - Cordillera Administrative Region,Abra,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,162.5
CAR - Cordillera Administrative Region,Abra,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
CAR - Cordillera Administrative Region,Abra,"GINGER, LOOSE",1 KG,2021,January,168.89
CAR - Cordillera Administrative Region,Apayao,"GARLIC, LOCAL",1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,163.05
CAR - Cordillera Administrative Region,Apayao,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,"GINGER, LOOSE",1 KG,2021,January,163.75
CAR - Cordillera Administrative Region,Benguet,"GARLIC, LOCAL",1 KG,2021,January,
CAR - Cordillera Administrative Region,Benguet,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,111.25
CAR - Cordillera Administrative Region,Benguet,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
CAR - Cordillera Administrative Region,Benguet,"GINGER, LOOSE",1 KG,2021,January,125.98
CAR - Cordillera Administrative Region,Ifugao,"GARLIC, LOCAL",1 KG,2021,January,
CAR - Cordillera Administrative Region,Ifugao,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,195.71
CAR - Cordillera Administrative Region,Ifugao,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
CAR - Cordillera Administrative Region,Ifugao,"GINGER, LOOSE",1 KG,2021,January,142.86
CAR - Cordillera Administrative Region,Kalinga,"GARLIC, LOCAL",1 KG,2021,January,
CAR - Cordillera Administrative Region,Kalinga,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,122.5
CAR - Cordillera Administrative Region,Kalinga,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
CAR - Cordillera Administrative Region,Kalinga,"GINGER, LOOSE",1 KG,2021,January,125.0
CAR - Cordillera Administrative Region,Mountain Province,"GARLIC, LOCAL",1 KG,2021,January,
CAR - Cordillera Administrative Region,Mountain Province,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,185.0
CAR - Cordillera Administrative Region,Mountain Province,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
CAR - Cordillera Administrative Region,Mountain Province,"GINGER, LOOSE",1 KG,2021,January,176.25
CAR - Cordillera Administrative Region,City of Baguio,"GARLIC, LOCAL",1 KG,2021,January,
CAR - Cordillera Administrative Region,City of Baguio,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,89.26
CAR - Cordillera Administrative Region,City of Baguio,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
CAR - Cordillera Administrative Region,City of Baguio,"GINGER, LOOSE",1 KG,2021,January,124.19
I - Ilocos Region,Ilocos Norte,"GARLIC, LOCAL",1 KG,2021,January,
I - Ilocos Region,Ilocos Norte,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,105.07
I - Ilocos Region,Ilocos Norte,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
I - Ilocos Region,Ilocos Norte,"GINGER, LOOSE",1 KG,2021,January,153.43
I - Ilocos Region,Ilocos Sur,"GARLIC, LOCAL",1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,131.25
I - Ilocos Region,Ilocos Sur,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,"GINGER, LOOSE",1 KG,2021,January,
I - Ilocos Region,La Union,"GARLIC, LOCAL",1 KG,2021,January,
I - Ilocos Region,La Union,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,
I - Ilocos Region,La Union,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
I - Ilocos Region,La Union,"GINGER, LOOSE",1 KG,2021,January,150.0
I - Ilocos Region,Pangasinan,"GARLIC, LOCAL",1 KG,2021,January,
I - Ilocos Region,Pangasinan,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,175.92
I - Ilocos Region,Pangasinan,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
I - Ilocos Region,Pangasinan,"GINGER, LOOSE",1 KG,2021,January,173.44
II - Cagayan Valley,Batanes,"GARLIC, LOCAL",1 KG,2021,January,
II - Cagayan Valley,Batanes,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,233.22
II - Cagayan Valley,Batanes,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
II - Cagayan Valley,Batanes,"GINGER, LOOSE",1 KG,2021,January,221.25
II - Cagayan Valley,Cagayan,"GARLIC, LOCAL",1 KG,2021,January,
II - Cagayan Valley,Cagayan,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,145.06
II - Cagayan Valley,Cagayan,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,85.93
II - Cagayan Valley,Cagayan,"GINGER, LOOSE",1 KG,2021,January,
II - Cagayan Valley,Isabela,"GARLIC, LOCAL",1 KG,2021,January,
II - Cagayan Valley,Isabela,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,121.75
II - Cagayan Valley,Isabela,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
II - Cagayan Valley,Isabela,"GINGER, LOOSE",1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,"GARLIC, LOCAL",1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,123.75
II - Cagayan Valley,Nueva Vizcaya,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,"GINGER, LOOSE",1 KG,2021,January,138.86
II - Cagayan Valley,Quirino,"GARLIC, LOCAL",1 KG,2021,January,
II - Cagayan Valley,Quirino,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,
II - Cagayan Valley,Quirino,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
II - Cagayan Valley,Quirino,"GINGER, LOOSE",1 KG,2021,January,
III - Central Luzon,Aurora,"GARLIC, LOCAL",1 KG,2021,January,
III - Central Luzon,Aurora,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,168.75
III - Central Luzon,Aurora,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
III - Central Luzon,Aurora,"GINGER, LOOSE",1 KG,2021,January,
III - Central Luzon,Bataan,"GARLIC, LOCAL",1 KG,2021,January,
III - Central Luzon,Bataan,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,184.95
III - Central Luzon,Bataan,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
III - Central Luzon,Bataan,"GINGER, LOOSE",1 KG,2021,January,
III - Central Luzon,Bulacan,"GARLIC, LOCAL",1 KG,2021,January,
III - Central Luzon,Bulacan,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,
III - Central Luzon,Bulacan,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
III - Central Luzon,Bulacan,"GINGER, LOOSE",1 KG,2021,January,156.99
III - Central Luzon,Nueva Ecija,"GARLIC, LOCAL",1 KG,2021,January,
III - Central Luzon,Nueva Ecija,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,106.25
III - Central Luzon,Nueva Ecija,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
III - Central Luzon,Nueva Ecija,"GINGER, LOOSE",1 KG,2021,January,
III - Central Luzon,Pampanga,"GARLIC, LOCAL",1 KG,2021,January,
III - Central Luzon,Pampanga,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,99.33
III - Central Luzon,Pampanga,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
III - Central Luzon,Pampanga,"GINGER, LOOSE",1 KG,2021,January,114.94
III - Central Luzon,Tarlac,"GARLIC, LOCAL",1 KG,2021,January,
III - Central Luzon,Tarlac,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,120.55
III - Central Luzon,Tarlac,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
III - Central Luzon,Tarlac,"GINGER, LOOSE",1 KG,2021,January,165.8
III - Central Luzon,Zambales,"GARLIC, LOCAL",1 KG,2021,January,
III - Central Luzon,Zambales,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,151.41
III - Central Luzon,Zambales,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,109.4
III - Central Luzon,Zambales,"GINGER, LOOSE",1 KG,2021,January,
III - Central Luzon,City of Angeles,"GARLIC, LOCAL",1 KG,2021,January,
III - Central Luzon,City of Angeles,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,103.34
III - Central Luzon,City of Angeles,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
III - Central Luzon,City of Angeles,"GINGER, LOOSE",1 KG,2021,January,119.94
III - Central Luzon,City of Olongapo,"GARLIC, LOCAL",1 KG,2021,January,
III - Central Luzon,City of Olongapo,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,178.18
III - Central Luzon,City of Olongapo,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,125.67
III - Central Luzon,City of Olongapo,"GINGER, LOOSE",1 KG,2021,January,
IV-A - CALABARZON,Batangas,"GARLIC, LOCAL",1 KG,2021,January,
IV-A - CALABARZON,Batangas,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,
IV-A - CALABARZON,Batangas,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
IV-A - CALABARZON,Batangas,"GINGER, LOOSE",1 KG,2021,January,170.0
IV-A - CALABARZON,Cavite,"GARLIC, LOCAL",1 KG,2021,January,
IV-A - CALABARZON,Cavite,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,113.07
IV-A - CALABARZON,Cavite,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
IV-A - CALABARZON,Cavite,"GINGER, LOOSE",1 KG,2021,January,162.92
IV-A - CALABARZON,Laguna,"GARLIC, LOCAL",1 KG,2021,January,
IV-A - CALABARZON,Laguna,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,
IV-A - CALABARZON,Laguna,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
IV-A - CALABARZON,Laguna,"GINGER, LOOSE",1 KG,2021,January,
IV-A - CALABARZON,Quezon,"GARLIC, LOCAL",1 KG,2021,January,
IV-A - CALABARZON,Quezon,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,
IV-A - CALABARZON,Quezon,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
IV-A - CALABARZON,Quezon,"GINGER, LOOSE",1 KG,2021,January,
IV-A - CALABARZON,Rizal,"GARLIC, LOCAL",1 KG,2021,January,
IV-A - CALABARZON,Rizal,ONION RED CREOLE (BERMUDA RED),1 KG,2021,January,
IV-A - CALABARZON,Rizal,ONION WHITE (YELLOW GRANEX),1 KG,2021,January,
