Region,Province,Commodity_Name,Unit,Year,Month,Retail_Price
CAR - Cordillera Administrative Region,Abra,CABBAGE,1 KG,2021,January,100.0
CAR - Cordillera Administrative Region,Abra,ALUGBATI,1 KG,2021,January,
CAR - Cordillera Administrative Region,Abra,KANGKONG,1 KG,2021,January,
CAR - Cordillera Administrative Region,Abra,MALUNGGAY,1 KG,2021,January,
CAR - Cordillera Administrative Region,Abra,"PECHAY, NATIVE",1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,CABBAGE,1 KG,2021,January,123.75
CAR - Cordillera Administrative Region,Apayao,ALUGBATI,1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,KANGKONG,1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,MALUNGGAY,1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,"PECHAY, NATIVE",1 KG,2021,January,
CAR - Cordillera Administrative Region,Benguet,CABBAGE,1 KG,2021,January,59.38
CAR - Cordillera Administrative Region,Benguet,ALUGBATI,1 KG,2021,January,
CAR - Cordillera Administrative Region,Benguet,KANGKONG,1 KG,2021,January,
CAR - Cordillera Administrative Region,Benguet,MALUNGGAY,1 KG,2021,January,
CAR - Cordillera Administrative Region,Benguet,"PECHAY, NATIVE",1 KG,2021,January,
CAR - Cordillera Administrative Region,Ifugao,CABBAGE,1 KG,2021,January,65.71
CAR - Cordillera Administrative Region,Ifugao,ALUGBATI,1 KG,2021,January,
CAR - Cordillera Administrative Region,Ifugao,KANGKONG,1 KG,2021,January,
CAR - Cordillera Administrative Region,Ifugao,MALUNGGAY,1 KG,2021,January,
CAR - Cordillera Administrative Region,Ifugao,"PECHAY, NATIVE",1 KG,2021,January,
CAR - Cordillera Administrative Region,Kalinga,CABBAGE,1 KG,2021,January,112.5
CAR - Cordillera Administrative Region,Kalinga,ALUGBATI,1 KG,2021,January,
CAR - Cordillera Administrative Region,Kalinga,KANGKONG,1 KG,2021,January,
CAR - Cordillera Administrative Region,Kalinga,MALUNGGAY,1 KG,2021,January,
CAR - Cordillera Administrative Region,Kalinga,"PECHAY, NATIVE",1 KG,2021,January,
CAR - Cordillera Administrative Region,Mountain Province,CABBAGE,1 KG,2021,January,71.25
CAR - Cordillera Administrative Region,Mountain Province,ALUGBATI,1 KG,2021,January,
CAR - Cordillera Administrative Region,Mountain Province,KANGKONG,1 KG,2021,January,
CAR - Cordillera Administrative Region,Mountain Province,MALUNGGAY,1 KG,2021,January,
CAR - Cordillera Administrative Region,Mountain Province,"PECHAY, NATIVE",1 KG,2021,January,
CAR - Cordillera Administrative Region,City of Baguio,CABBAGE,1 KG,2021,January,100.28
CAR - Cordillera Administrative Region,City of Baguio,ALUGBATI,1 KG,2021,January,
CAR - Cordillera Administrative Region,City of Baguio,KANGKONG,1 KG,2021,January,
CAR - Cordillera Administrative Region,City of Baguio,MALUNGGAY,1 KG,2021,January,
CAR - Cordillera Administrative Region,City of Baguio,"PECHAY, NATIVE",1 KG,2021,January,
I - Ilocos Region,Ilocos Norte,CABBAGE,1 KG,2021,January,95.0
I - Ilocos Region,Ilocos Norte,ALUGBATI,1 KG,2021,January,
I - Ilocos Region,Ilocos Norte,KANGKONG,1 KG,2021,January,
I - Ilocos Region,Ilocos Norte,MALUNGGAY,1 KG,2021,January,
I - Ilocos Region,Ilocos Norte,"PECHAY, NATIVE",1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,CABBAGE,1 KG,2021,January,133.14
I - Ilocos Region,Ilocos Sur,ALUGBATI,1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,KANGKONG,1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,MALUNGGAY,1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,"PECHAY, NATIVE",1 KG,2021,January,
I - Ilocos Region,La Union,CABBAGE,1 KG,2021,January,137.5
I - Ilocos Region,La Union,ALUGBATI,1 KG,2021,January,
I - Ilocos Region,La Union,KANGKONG,1 KG,2021,January,
I - Ilocos Region,La Union,MALUNGGAY,1 KG,2021,January,
I - Ilocos Region,La Union,"PECHAY, NATIVE",1 KG,2021,January,
I - Ilocos Region,Pangasinan,CABBAGE,1 KG,2021,January,58.34
I - Ilocos Region,Pangasinan,ALUGBATI,1 KG,2021,January,
I - Ilocos Region,Pangasinan,KANGKONG,1 KG,2021,January,
I - Ilocos Region,Pangasinan,MALUNGGAY,1 KG,2021,January,
I - Ilocos Region,Pangasinan,"PECHAY, NATIVE",1 KG,2021,January,42.43
II - Cagayan Valley,Batanes,CABBAGE,1 KG,2021,January,180.0
II - Cagayan Valley,Batanes,ALUGBATI,1 KG,2021,January,
II - Cagayan Valley,Batanes,KANGKONG,1 KG,2021,January,
II - Cagayan Valley,Batanes,MALUNGGAY,1 KG,2021,January,
II - Cagayan Valley,Batanes,"PECHAY, NATIVE",1 KG,2021,January,
II - Cagayan Valley,Cagayan,CABBAGE,1 KG,2021,January,122.15
II - Cagayan Valley,Cagayan,ALUGBATI,1 KG,2021,January,
II - Cagayan Valley,Cagayan,KANGKONG,1 KG,2021,January,
II - Cagayan Valley,Cagayan,MALUNGGAY,1 KG,2021,January,
II - Cagayan Valley,Cagayan,"PECHAY, NATIVE",1 KG,2021,January,
II - Cagayan Valley,Isabela,CABBAGE,1 KG,2021,January,150.59
II - Cagayan Valley,Isabela,ALUGBATI,1 KG,2021,January,
II - Cagayan Valley,Isabela,KANGKONG,1 KG,2021,January,
II - Cagayan Valley,Isabela,MALUNGGAY,1 KG,2021,January,
II - Cagayan Valley,Isabela,"PECHAY, NATIVE",1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,CABBAGE,1 KG,2021,January,76.03
II - Cagayan Valley,Nueva Vizcaya,ALUGBATI,1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,KANGKONG,1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,MALUNGGAY,1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,"PECHAY, NATIVE",1 KG,2021,January,
II - Cagayan Valley,Quirino,CABBAGE,1 KG,2021,January,
II - Cagayan Valley,Quirino,ALUGBATI,1 KG,2021,January,
II - Cagayan Valley,Quirino,KANGKONG,1 KG,2021,January,
