Region,Province,Commodity_Name,Unit,Year,Month,Retail_Price
CAR - Cordillera Administrative Region,Abra,CARROT,1 KG,2021,January,106.25
CAR - Cordillera Administrative Region,Abra,TURNIP (SINGKAMAS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Abra,RADDISH (LABANOS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Abra,POTATO,1 KG,2021,January,93.75
CAR - Cordillera Administrative Region,Abra,SWEET POTATO (CAMOTE),1 KG,2021,January,51.25
CAR - Cordillera Administrative Region,Abra,GABI TUBERS,1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,CARROT,1 KG,2021,January,120.0
CAR - Cordillera Administrative Region,Apayao,TURNIP (SINGKAMAS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,RADDISH (LABANOS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,POTATO,1 KG,2021,January,98.75
CAR - Cordillera Administrative Region,Apayao,SWEET POTATO (CAMOTE),1 KG,2021,January,
CAR - Cordillera Administrative Region,Apayao,GABI TUBERS,1 KG,2021,January,
CAR - Cordillera Administrative Region,Benguet,CARROT,1 KG,2021,January,86.5
CAR - Cordillera Administrative Region,Benguet,TURNIP (SINGKAMAS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Benguet,RADDISH (LABANOS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Benguet,POTATO,1 KG,2021,January,54.38
CAR - Cordillera Administrative Region,Benguet,SWEET POTATO (CAMOTE),1 KG,2021,January,50.71
CAR - Cordillera Administrative Region,Benguet,GABI TUBERS,1 KG,2021,January,48.57
CAR - Cordillera Administrative Region,Ifugao,CARROT,1 KG,2021,January,62.86
CAR - Cordillera Administrative Region,Ifugao,TURNIP (SINGKAMAS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Ifugao,RADDISH (LABANOS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Ifugao,POTATO,1 KG,2021,January,81.43
CAR - Cordillera Administrative Region,Ifugao,SWEET POTATO (CAMOTE),1 KG,2021,January,47.14
CAR - Cordillera Administrative Region,Ifugao,GABI TUBERS,1 KG,2021,January,
CAR - Cordillera Administrative Region,Kalinga,CARROT,1 KG,2021,January,77.5
CAR - Cordillera Administrative Region,Kalinga,TURNIP (SINGKAMAS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Kalinga,RADDISH (LABANOS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Kalinga,POTATO,1 KG,2021,January,80.0
CAR - Cordillera Administrative Region,Kalinga,SWEET POTATO (CAMOTE),1 KG,2021,January,49.38
CAR - Cordillera Administrative Region,Kalinga,GABI TUBERS,1 KG,2021,January,
CAR - Cordillera Administrative Region,Mountain Province,CARROT,1 KG,2021,January,93.75
CAR - Cordillera Administrative Region,Mountain Province,TURNIP (SINGKAMAS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Mountain Province,RADDISH (LABANOS),1 KG,2021,January,
CAR - Cordillera Administrative Region,Mountain Province,POTATO,1 KG,2021,January,66.25
CAR - Cordillera Administrative Region,Mountain Province,SWEET POTATO (CAMOTE),1 KG,2021,January,56.88
CAR - Cordillera Administrative Region,Mountain Province,GABI TUBERS,1 KG,2021,January,
CAR - Cordillera Administrative Region,City of Baguio,CARROT,1 KG,2021,January,81.23
CAR - Cordillera Administrative Region,City of Baguio,TURNIP (SINGKAMAS),1 KG,2021,January,
CAR - Cordillera Administrative Region,City of Baguio,RADDISH (LABANOS),1 KG,2021,January,
CAR - Cordillera Administrative Region,City of Baguio,POTATO,1 KG,2021,January,54.5
CAR - Cordillera Administrative Region,City of Baguio,SWEET POTATO (CAMOTE),1 KG,2021,January,48.96
CAR - Cordillera Administrative Region,City of Baguio,GABI TUBERS,1 KG,2021,January,45.34
I - Ilocos Region,Ilocos Norte,CARROT,1 KG,2021,January,115.72
I - Ilocos Region,Ilocos Norte,TURNIP (SINGKAMAS),1 KG,2021,January,
I - Ilocos Region,Ilocos Norte,RADDISH (LABANOS),1 KG,2021,January,
I - Ilocos Region,Ilocos Norte,POTATO,1 KG,2021,January,95.0
I - Ilocos Region,Ilocos Norte,SWEET POTATO (CAMOTE),1 KG,2021,January,
I - Ilocos Region,Ilocos Norte,GABI TUBERS,1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,CARROT,1 KG,2021,January,130.0
I - Ilocos Region,Ilocos Sur,TURNIP (SINGKAMAS),1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,RADDISH (LABANOS),1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,POTATO,1 KG,2021,January,106.25
I - Ilocos Region,Ilocos Sur,SWEET POTATO (CAMOTE),1 KG,2021,January,
I - Ilocos Region,Ilocos Sur,GABI TUBERS,1 KG,2021,January,
I - Ilocos Region,La Union,CARROT,1 KG,2021,January,117.5
I - Ilocos Region,La Union,TURNIP (SINGKAMAS),1 KG,2021,January,
I - Ilocos Region,La Union,RADDISH (LABANOS),1 KG,2021,January,
I - Ilocos Region,La Union,POTATO,1 KG,2021,January,108.75
I - Ilocos Region,La Union,SWEET POTATO (CAMOTE),1 KG,2021,January,
I - Ilocos Region,La Union,GABI TUBERS,1 KG,2021,January,
I - Ilocos Region,Pangasinan,CARROT,1 KG,2021,January,60.6
I - Ilocos Region,Pangasinan,TURNIP (SINGKAMAS),1 KG,2021,January,
I - Ilocos Region,Pangasinan,RADDISH (LABANOS),1 KG,2021,January,
I - Ilocos Region,Pangasinan,POTATO,1 KG,2021,January,63.75
I - Ilocos Region,Pangasinan,SWEET POTATO (CAMOTE),1 KG,2021,January,
I - Ilocos Region,Pangasinan,GABI TUBERS,1 KG,2021,January,55.0
II - Cagayan Valley,Batanes,CARROT,1 KG,2021,January,
II - Cagayan Valley,Batanes,TURNIP (SINGKAMAS),1 KG,2021,January,
II - Cagayan Valley,Batanes,RADDISH (LABANOS),1 KG,2021,January,
II - Cagayan Valley,Batanes,POTATO,1 KG,2021,January,154.25
II - Cagayan Valley,Batanes,SWEET POTATO (CAMOTE),1 KG,2021,January,
II - Cagayan Valley,Batanes,GABI TUBERS,1 KG,2021,January,
II - Cagayan Valley,Cagayan,CARROT,1 KG,2021,January,92.79
II - Cagayan Valley,Cagayan,TURNIP (SINGKAMAS),1 KG,2021,January,50.2
II - Cagayan Valley,Cagayan,RADDISH (LABANOS),1 KG,2021,January,79.68
II - Cagayan Valley,Cagayan,POTATO,1 KG,2021,January,91.63
II - Cagayan Valley,Cagayan,SWEET POTATO (CAMOTE),1 KG,2021,January,
II - Cagayan Valley,Cagayan,GABI TUBERS,1 KG,2021,January,
II - Cagayan Valley,Isabela,CARROT,1 KG,2021,January,143.22
II - Cagayan Valley,Isabela,TURNIP (SINGKAMAS),1 KG,2021,January,
II - Cagayan Valley,Isabela,RADDISH (LABANOS),1 KG,2021,January,115.27
II - Cagayan Valley,Isabela,POTATO,1 KG,2021,January,125.54
II - Cagayan Valley,Isabela,SWEET POTATO (CAMOTE),1 KG,2021,January,
II - Cagayan Valley,Isabela,GABI TUBERS,1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,CARROT,1 KG,2021,January,76.18
II - Cagayan Valley,Nueva Vizcaya,TURNIP (SINGKAMAS),1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,RADDISH (LABANOS),1 KG,2021,January,61.88
II - Cagayan Valley,Nueva Vizcaya,POTATO,1 KG,2021,January,79.61
II - Cagayan Valley,Nueva Vizcaya,SWEET POTATO (CAMOTE),1 KG,2021,January,
II - Cagayan Valley,Nueva Vizcaya,GABI TUBERS,1 KG,2021,January,
II - Cagayan Valley,Quirino,CARROT,1 KG,2021,January,
II - Cagayan Valley,Quirino,TURNIP (SINGKAMAS),1 KG,2021,January,
II - Cagayan Valley,Quirino,RADDISH (LABANOS),1 KG,2021,January,
II - Cagayan Valley,Quirino,POTATO,1 KG,2021,January,
II - Cagayan Valley,Quirino,SWEET POTATO (CAMOTE),1 KG,2021,January,
II - Cagayan Valley,Quirino,GABI TUBERS,1 KG,2021,January,
III - Central Luzon,Aurora,CARROT,1 KG,2021,January,145.0
III - Central Luzon,Aurora,TURNIP (SINGKAMAS),1 KG,2021,January,
III - Central Luzon,Aurora,RADDISH (LABANOS),1 KG,2021,January,
III - Central Luzon,Aurora,POTATO,1 KG,2021,January,131.25
III - Central Luzon,Aurora,SWEET POTATO (CAMOTE),1 KG,2021,January,
III - Central Luzon,Aurora,GABI TUBERS,1 KG,2021,January,
III - Central Luzon,Bataan,CARROT,1 KG,2021,January,119.23
III - Central Luzon,Bataan,TURNIP (SINGKAMAS),1 KG,2021,January,
III - Central Luzon,Bataan,RADDISH (LABANOS),1 KG,2021,January,82.78
III - Central Luzon,Bataan,POTATO,1 KG,2021,January,99.21
III - Central Luzon,Bataan,SWEET POTATO (CAMOTE),1 KG,2021,January,
III - Central Luzon,Bataan,GABI TUBERS,1 KG,2021,January,
III - Central Luzon,Bulacan,CARROT,1 KG,2021,January,187.96
III - Central Luzon,Bulacan,TURNIP (SINGKAMAS),1 KG,2021,January,54.0
III - Central Luzon,Bulacan,RADDISH (LABANOS),1 KG,2021,January,105.19
III - Central Luzon,Bulacan,POTATO,1 KG,2021,January,132.95
III - Central Luzon,Bulacan,SWEET POTATO (CAMOTE),1 KG,2021,January,
III - Central Luzon,Bulacan,GABI TUBERS,1 KG,2021,January,
III - Central Luzon,Nueva Ecija,CARROT,1 KG,2021,January,108.75
III - Central Luzon,Nueva Ecija,TURNIP (SINGKAMAS),1 KG,2021,January,
III - Central Luzon,Nueva Ecija,RADDISH (LABANOS),1 KG,2021,January,
III - Central Luzon,Nueva Ecija,POTATO,1 KG,2021,January,91.23
III - Central Luzon,Nueva Ecija,SWEET POTATO (CAMOTE),1 KG,2021,January,
