Typhoon Name,Classification,Date Developed,Date Entered PAR,Date Landfall(s),Landfall Location(s),Date Exited / Dissipated,Peak Intensity
Auring,Tropical Storm,"February 16, 2021","February 16, 2021","February 21, 2021",Eastern Samar,"February 22, 2021","85 km/h, 994 hPa"
Bising,Super Typhoon,"April 12, 2021","April 15, 2021",None,None,"April 24, 2021","220 km/h, 895 hPa"
Crising,Tropical Storm,"May 12, 2021","May 12, 2021","May 13, 2021",Davao Oriental,"May 14, 2021","65 km/h, 1002 hPa"
Dante,Tropical Storm,"May 29, 2021","May 29, 2021","June 1-2, 2021","Eastern Samar, Samar, Masbate, Romblon, Btangas","June 5, 2021","75 km/h, 996 hPa"
Emong,Tropical Depression,"July 3, 2021","July 3, 2021","July 5, 2021",Batanes,"July 6, 2021","55 km/h, 1002 hPa"
Fabian,Typhoon ,"July 15, 2021","July 21, 2021",None,None,"July 23, 2021","150 km/h, 955 hPa"
Gorio,Severe Tropical Storm,"August 3, 2021","August 3, 2021",None,None,"August 4, 2021","45 km/h, 998 hPa"
Huaning,Tropical Storm,"August 2, 2021","August 6, 2021",None,None,"August 7, 2021","65 km/h, 992 hPa"
Isang,Severe Tropical Storm,"August 10, 2021","August 19, 2021",None,None,"August 22, 2021","100 km/h, 992 hPa"
Jolina,Typhoon,"September 5, 2021","September 5, 2021","September 6-8, 2021","Eastern Samar, Samar, Masbate, Marinduque, Batangas, Bataan, Zambales","September 9, 2021","120 km/h, 985 hPa"
Kiko,Super Typhoon,"September 5, 2021","October 7, 2021","September 11, 2021",Batanes,"September 12, 2021","215 km/h, 910 hPa"
Lannie,Tropical Storm,"October 1, 2021","October 1, 2021","October 3-4, 2021","Surigao del Norte, Southern Leyte, Bohol, Cebu, negros Oriental, Palawan","November 5, 2021","45 km/h, 1002 hPa"
Maring,Severe Tropical Storm,"October 7, 2021","October 7, 2021","October 21, 2021",Cagayan,"October 12, 2021","100 km/h, 975 hPa"
Nando,Tropical Depression,"October 7, 2021","October 8, 2021",None,None,"October 9, 2021","55 km/h, 996 hPa"
Odette,Super Typhoon,"December 12, 2021","December 14, 2021","December 16-17, 2021","Surigao del Norte, Southern Leyte, Bohol, Cebu, Negros Oriental, Palawan","December 18, 2021","195 km/h, 915 hPa"
Agaton,Tropical Storm,"April 8, 2022","April 8, 2022","April 10, 2022",Samar,"April 12, 2022","75 km/h, 996 hPa"
Basyang,Typhoon,"April 6, 2022","April 12, 2022",None,None,"April 12, 2022","120 km/h, 975 hPa"
Caloy,Typhoon,"June 28, 2022","June 28, 2022",None,None,"June 29, 2022","55 km/h, 998 hPa"
Domeng,Tropical Storm,"June 30, 2022","June 30, 2022",None,None,"July 2, 2022","85 km/h, 994 hPa"
