Monitoring Station,Month,Rainfall,Year
"Alabat, Quezon",Jan,414.1,2021
"Ambulong, Batangas",Jan,51.6,2021
"Aparri, Cagayan",Jan,235.8,2021
"Baguio City, Benguet",Jan,44.6,2021
"Baler, Aurora (Radar)",Jan,310.5,2021
"Basco, Batanes (Radar)",Jan,93.2,2021
"Borongan, Eastern Samar",Jan,1313.0,2021
"Butuan City, Agusan Del Norte",Jan,428.6,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",Jan,,2021
"Calapan, Oriental Mindoro",Jan,119.8,2021
"Calayan, Cagayan",Jan,288.6,2021
"Casiguran, Aurora",Jan,326.9,2021
"Catarman, Northern Samar",Jan,915.1,2021
"Catbalogan, Western Samar",Jan,497.5,2021
"Clark International Airport, Pampanga",Jan,48.2,2021
"CLSU, Nueva Ecija",Jan,46.8,2021
"Coron, Palawan",Jan,60.9,2021
"Cotabato City, Maguindanao",Jan,144.1,2021
"Cubi Point, Subic Bay Olongapo City, Zambales",Jan,85.0,2021
"Cuyo, Palawan",Jan,92.9,2021
"Daet, Camarines Norte",Jan,464.7,2021
"Dagupan City, Pangasinan",Jan,114.4,2021
"Dauis, Bohol",Jan,159.0,2021
"Davao City, Davao Del Sur",Jan,268.3,2021
"Dipolog, Zamboanga Del Norte",Jan,354.9,2021
"Dumaguete City, Negros Oriental",Jan,123.1,2021
"Molugan-El Salvador, Misamis Oriental (former Lumbia Station)",Jan,198.8,2021
"General Santos, South Cotabato",Jan,183.8,2021
"Guiuan, Eastern Samar",Jan,675.9,2021
"Hinatuan, Surigao Del Sur",Jan,938.3,2021
"Iba, Zambales",Jan,34.7,2021
"Infanta, Quezon",Jan,427.8,2021
"Itbayat, Batanes",Jan,45.1,2021
"Juban, Sorsogon",Jan,947.8,2021
"Laoag City, Ilocos Norte",Jan,25.8,2021
"Legazpi City, Albay",Jan,498.8,2021
"Lumbia, Misamis Oriental",Jan,,2021
"Maasin, Southern Leyte",Jan,365.2,2021
"Mactan International Airport, Cebu",Jan,209.2,2021
"Malaybalay, Bukidnon",Jan,275.9,2021
"Masbate, Masbate",Jan,256.8,2021
"NAIA (MIA), Pasay City",Jan,85.0,2021
"Port Area (MCO), Manila",Jan,125.4,2021
"Puerto Princesa City, Palawan",Jan,143.4,2021
"Romblon, Romblon",Jan,213.2,2021
"Roxas City, Capiz",Jan,116.0,2021
"San Jose, Occidental Mindoro",Jan,19.3,2021
"Sangley Point, Cavite",Jan,84.6,2021
"Science Garden, Quezon City",Jan,179.6,2021
"Sinait, Ilocos Sur (former Vigan Station)",Jan,31.8,2021
"Surigao, Surigao Del Norte",Jan,697.9,2021
"Tagbilaran City, Bohol (Station was transferred to Dauis, Bohol)",Jan,,2021
"Tacloban City, Leyte",Jan,556.0,2021
"Tanay, Rizal",Jan,271.4,2021
"Tayabas, Quezon",Jan,267.0,2021
"Tuguegarao, Cagayan",Jan,52.6,2021
"Virac Synop, Catanduanes",Jan,630.8,2021
"Zamboanga, Zamboanga Del Sur",Jan,87.4,2021
"Alabat, Quezon",Feb,265.0,2021
"Ambulong, Batangas",Feb,35.1,2021
"Aparri, Cagayan",Feb,115.7,2021
"Baguio City, Benguet",Feb,18.8,2021
"Baler, Aurora (Radar)",Feb,104.6,2021
"Basco, Batanes (Radar)",Feb,49.4,2021
"Borongan, Eastern Samar",Feb,868.5,2021
"Butuan City, Agusan Del Norte",Feb,291.3,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",Feb,,2021
"Calapan, Oriental Mindoro",Feb,143.8,2021
"Calayan, Cagayan",Feb,103.8,2021
"Casiguran, Aurora",Feb,212.3,2021
"Catarman, Northern Samar",Feb,450.2,2021
"Catbalogan, Western Samar",Feb,334.4,2021
"Clark International Airport, Pampanga",Feb,82.2,2021
"CLSU, Nueva Ecija",Feb,3.6,2021
"Coron, Palawan",Feb,35.6,2021
"Cotabato City, Maguindanao",Feb,149.8,2021
"Cubi Point, Subic Bay Olongapo City, Zambales",Feb,3.6,2021
"Cuyo, Palawan",Feb,33.0,2021
"Daet, Camarines Norte",Feb,368.4,2021
"Dagupan City, Pangasinan",Feb,22.8,2021
"Dauis, Bohol",Feb,155.9,2021
"Davao City, Davao Del Sur",Feb,198.4,2021
"Dipolog, Zamboanga Del Norte",Feb,125.4,2021
"Dumaguete City, Negros Oriental",Feb,232.9,2021
"Molugan-El Salvador, Misamis Oriental (former Lumbia Station)",Feb,73.3,2021
"General Santos, South Cotabato",Feb,200.4,2021
"Guiuan, Eastern Samar",Feb,410.7,2021
"Hinatuan, Surigao Del Sur",Feb,443.9,2021
"Iba, Zambales",Feb,12.2,2021
"Infanta, Quezon",Feb,327.9,2021
"Itbayat, Batanes",Feb,24.0,2021
"Juban, Sorsogon",Feb,734.4,2021
"Laoag City, Ilocos Norte",Feb,2.9,2021
"Legazpi City, Albay",Feb,400.8,2021
"Lumbia, Misamis Oriental",Feb,,2021
"Maasin, Southern Leyte",Feb,356.2,2021
"Mactan International Airport, Cebu",Feb,156.1,2021
"Malaybalay, Bukidnon",Feb,312.6,2021
"Masbate, Masbate",Feb,247.6,2021
"NAIA (MIA), Pasay City",Feb,34.5,2021
"Port Area (MCO), Manila",Feb,35.1,2021
"Puerto Princesa City, Palawan",Feb,126.5,2021
"Romblon, Romblon",Feb,206.9,2021
"Roxas City, Capiz",Feb,160.0,2021
"San Jose, Occidental Mindoro",Feb,11.4,2021
"Sangley Point, Cavite",Feb,25.9,2021
"Science Garden, Quezon City",Feb,26.6,2021
"Sinait, Ilocos Sur (former Vigan Station)",Feb,10.3,2021
"Surigao, Surigao Del Norte",Feb,371.7,2021
"Tagbilaran City, Bohol (Station was transferred to Dauis, Bohol)",Feb,,2021
"Tacloban City, Leyte",Feb,490.9,2021
"Tanay, Rizal",Feb,59.5,2021
"Tayabas, Quezon",Feb,128.8,2021
"Tuguegarao, Cagayan",Feb,43.3,2021
"Virac Synop, Catanduanes",Feb,426.3,2021
"Zamboanga, Zamboanga Del Sur",Feb,99.0,2021
"Alabat, Quezon",Mar,461.5,2021
"Ambulong, Batangas",Mar,43.2,2021
"Aparri, Cagayan",Mar,31.6,2021
"Baguio City, Benguet",Mar,193.5,2021
"Baler, Aurora (Radar)",Mar,129.3,2021
"Basco, Batanes (Radar)",Mar,62.6,2021
"Borongan, Eastern Samar",Mar,670.5,2021
"Butuan City, Agusan Del Norte",Mar,163.6,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",Mar,,2021
"Calapan, Oriental Mindoro",Mar,70.0,2021
"Calayan, Cagayan",Mar,110.6,2021
"Casiguran, Aurora",Mar,298.1,2021
"Catarman, Northern Samar",Mar,412.4,2021
"Catbalogan, Western Samar",Mar,233.0,2021
"Clark International Airport, Pampanga",Mar,35.5,2021
"CLSU, Nueva Ecija",Mar,7.5,2021
"Coron, Palawan",Mar,16.2,2021
"Cotabato City, Maguindanao",Mar,170.2,2021
"Cubi Point, Subic Bay Olongapo City, Zambales",Mar,28.5,2021
