"Condiments: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2025 January","2025 February","2025 March","2025 April","2025 May","2025 June","2025 July","2025 August","2025 September","2025 October","2025 November","2025 December"
"..NCR - National Capital Region","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..NCR - National Capital Region","ONION RED CREOLE (BERMUDA RED), 1 KG",126.59,115.90,104.97,102.50,101.41,108.85,111.57,111.76,111.57,127.72,140.04,164.26,183.51,107.52,79.49,70.45,81.47,92.54,105.89,134.53,158.67,199.33,246.01,363.43,424.96,256.61,126.27,130.34,175.59,170.85,170.35,170.33,153.64,143.32,152.53,173.51,149.24,112.25,90.91,90.31,106.09,110.72,107.72,109.67,106.82,104.14,106.47,119.47,142.80,174.18,129.71,113.70,128.68,133.49,145.26,160.66,.,.,.,.
"..NCR - National Capital Region","ONION WHITE (YELLOW GRANEX), 1 KG",88.43,81.74,73.92,76.58,76.97,79.91,79.48,82.72,79.48,85.20,90.93,83.73,86.36,76.75,66.10,67.55,79.34,93.65,120.87,230.97,312.48,305.21,285.13,281.30,314.59,202.52,119.82,150.28,178.77,168.86,160.49,153.50,139.64,133.08,130.04,129.19,120.82,93.93,81.57,81.80,93.32,95.67,97.79,113.71,129.10,112.39,107.78,115.60,125.17,132.70,110.69,100.64,112.11,112.44,127.72,146.97,.,.,.,.
"..NCR - National Capital Region","GINGER, LOOSE, 1 KG",164.92,149.24,148.74,155.13,153.87,151.76,153.71,146.12,153.71,137.44,134.56,126.52,127.56,114.14,105.18,104.53,105.05,102.50,105.28,103.50,105.07,120.43,120.94,109.61,109.46,106.04,102.11,101.23,104.73,107.89,111.87,118.52,123.84,129.22,136.04,135.94,133.61,131.86,127.99,142.35,203.34,248.28,226.17,218.45,222.67,209.11,204.05,199.10,196.86,185.80,181.53,182.13,200.21,202.06,200.33,198.06,.,.,.,.
"..CAR - Cordillera Administrative Region","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","ONION RED CREOLE (BERMUDA RED), 1 KG",147.04,128.18,118.35,109.42,109.98,109.30,113.58,123.70,129.24,127.56,138.10,151.16,165.90,144.74,124.34,115.86,105.28,109.30,109.76,128.80,146.39,179.14,222.10,280.50,381.51,314.78,204.46,158.47,172.39,186.70,190.81,199.45,203.06,185.95,183.16,187.91,177.24,154.03,127.83,120.40,115.07,122.80,127.74,126.87,126.15,128.08,131.56,132.14,142.61,146.09,149.18,137.26,136.11,142.05,147.77,162.42,.,.,.,.
"..CAR - Cordillera Administrative Region","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","GINGER, LOOSE, 1 KG",146.70,140.01,130.26,123.97,122.62,134.59,138.48,139.82,146.45,145.88,140.72,131.62,124.20,120.91,111.07,106.41,105.95,100.32,100.03,100.34,97.24,102.39,102.56,104.75,103.88,98.33,92.91,87.52,86.64,89.40,93.93,95.79,99.44,95.43,102.04,107.46,102.81,98.47,93.87,95.98,103.43,122.28,138.86,148.24,148.56,159.72,164.80,159.07,159.47,148.97,143.69,141.03,147.85,151.66,154.04,156.48,.,.,.,.
"....Abra","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Abra","ONION RED CREOLE (BERMUDA RED), 1 KG",162.50,137.50,106.25,105.00,102.50,105.00,107.50,117.50,117.50,120.00,130.00,153.75,148.75,135.00,128.75,131.25,131.25,122.50,117.50,125.00,127.50,145.00,215.00,283.75,337.50,255.00,205.00,175.00,151.25,161.25,161.25,207.50,215.00,171.25,177.50,167.50,151.25,136.25,131.25,122.50,118.75,127.50,133.75,126.25,117.50,117.50,122.50,120.00,131.25,142.50,130.00,130.00,127.50,126.25,153.75,161.25,.,.,.,.
"....Abra","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Abra","GINGER, LOOSE, 1 KG",168.89,151.11,135.87,130.79,134.60,162.54,160.00,156.25,151.25,130.00,117.50,120.00,118.75,117.50,116.25,113.75,118.75,115.00,107.50,107.50,108.75,115.00,107.50,112.50,117.50,107.50,97.50,97.50,100.00,100.00,103.75,107.50,127.50,117.50,120.00,120.00,117.50,116.25,101.88,105.00,112.50,138.75,195.00,196.25,200.00,233.75,247.50,235.00,217.50,208.75,198.75,200.00,190.00,187.50,192.50,168.75,.,.,.,.
"....Apayao","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
