"Fruit Vegetables: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2025 January","2025 February","2025 March","2025 April","2025 May","2025 June","2025 July","2025 August","2025 September","2025 October","2025 November","2025 December"
"..NCR - National Capital Region","CUCUMBER (PIPINO), 1 KG",89.26,80.09,70.80,70.61,66.67,70.90,76.15,74.90,76.15,79.01,75.30,68.92,71.54,73.47,85.98,72.69,64.06,72.52,73.25,64.02,83.20,108.61,115.10,94.33,113.83,111.58,84.93,70.70,88.97,94.80,81.68,98.75,101.76,77.08,81.27,99.54,88.03,87.37,103.77,104.49,99.56,104.75,108.63,87.85,100.94,113.87,119.66,130.07,97.52,79.51,87.00,83.21,84.81,92.98,102.08,109.17,.,.,.,.
"..NCR - National Capital Region","EGGPLANT, LONG, PURPLE, 1 KG",145.03,94.43,70.73,66.46,57.57,54.46,62.01,97.03,62.01,82.16,80.44,91.44,82.58,68.14,69.09,67.77,71.44,95.08,85.79,81.66,83.32,103.06,134.72,106.95,137.69,107.11,83.57,78.16,81.55,81.12,88.35,121.61,113.41,95.84,105.87,102.78,113.36,85.67,86.18,88.76,91.91,96.03,103.84,120.69,116.09,112.59,162.03,136.79,160.16,103.27,108.18,89.56,94.18,99.78,125.72,151.54,.,.,.,.
"..NCR - National Capital Region","TOMATO, 1 KG",117.53,62.32,38.14,35.99,36.53,59.89,91.98,91.18,91.98,59.21,57.49,56.61,62.05,54.38,66.83,112.43,99.06,70.12,55.26,60.59,80.20,107.67,112.07,100.21,78.92,52.65,51.46,46.02,45.45,53.90,75.48,120.59,152.63,121.85,102.64,64.57,85.55,109.89,73.64,65.34,68.14,85.14,169.80,113.99,86.66,107.73,171.65,213.45,170.39,62.62,45.10,57.34,71.25,69.31,68.47,84.94,.,.,.,.
"..NCR - National Capital Region","BITTER GOURD (AMPALAYA), FRUIT, 1 KG",144.67,95.50,72.93,67.28,61.42,75.40,82.06,108.06,82.06,93.14,71.64,87.03,97.80,101.77,103.08,97.52,96.25,117.28,87.98,82.49,89.55,125.46,138.02,111.18,133.30,146.21,131.87,104.51,92.00,86.72,91.97,141.15,139.35,109.38,96.09,105.12,120.48,112.90,125.54,120.52,132.69,140.80,112.52,107.03,123.32,125.39,158.37,143.36,159.05,126.88,122.05,108.01,109.48,112.22,141.15,169.89,.,.,.,.
"..NCR - National Capital Region","CHAYOTE, 1 KG",36.59,34.70,29.79,30.43,32.50,39.14,44.55,71.47,44.55,44.99,42.40,43.54,50.75,40.41,36.34,35.53,35.54,35.69,36.04,38.04,39.95,39.88,51.43,51.69,51.65,53.48,47.47,46.01,57.23,55.90,55.70,66.93,83.55,63.52,47.55,44.24,53.79,54.06,45.02,50.96,63.88,72.68,51.65,53.90,50.31,56.43,71.63,75.92,53.35,46.39,41.83,41.60,48.46,51.19,51.09,93.38,.,.,.,.
"..NCR - National Capital Region","COMMON GOURD (UPO), 1 KG",53.42,42.53,36.94,34.02,34.68,39.22,43.13,53.62,43.13,41.51,35.25,34.43,36.81,37.08,36.93,36.05,34.82,39.28,40.62,38.88,38.47,44.28,48.86,44.94,46.41,47.67,44.69,42.48,41.25,41.26,46.98,58.47,56.48,46.80,42.57,40.42,42.85,44.32,46.58,45.68,44.09,45.09,45.75,45.40,45.66,46.57,51.28,55.01,50.54,46.88,45.61,44.16,43.81,44.51,47.92,62.10,.,.,.,.
"..NCR - National Capital Region","PATOLA, 1 KG",96.36,80.31,67.65,61.50,59.43,67.38,69.55,80.92,69.55,67.44,61.03,65.39,67.44,68.73,73.65,70.81,63.30,66.28,70.03,69.45,70.12,80.17,91.91,78.18,86.96,87.97,86.41,81.49,80.98,80.64,80.45,96.30,82.98,71.74,69.61,76.54,79.76,82.30,85.26,83.57,80.09,85.79,80.52,86.78,87.72,83.73,95.00,100.72,105.23,97.12,100.26,91.35,87.56,86.39,91.33,112.73,.,.,.,.
"..NCR - National Capital Region","SQUASH, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.86,62.76,55.33,50.73,46.98,45.16,45.10,47.66,52.92,60.21,58.91,56.94,51.43,50.38,49.41,50.10,52.14,63.15,63.65,61.19,53.07,49.10,50.66,53.08,66.40,59.65,51.04,48.09,46.53,46.09,49.29,84.81,.,.,.,.
"..NCR - National Capital Region","OKRA, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","CUCUMBER (PIPINO), 1 KG",51.62,51.16,54.70,47.63,48.33,49.13,50.21,55.84,54.85,54.29,61.60,55.12,55.64,58.07,65.31,59.97,50.22,52.69,54.92,53.17,56.53,67.75,81.18,75.33,83.64,89.25,79.48,65.12,68.14,74.01,67.22,70.57,84.14,64.55,64.20,68.77,65.75,67.84,73.50,83.83,84.05,75.48,80.04,71.94,71.30,79.91,87.32,96.00,96.00,83.19,79.89,74.52,73.24,76.21,82.72,87.03,.,.,.,.
"..CAR - Cordillera Administrative Region","EGGPLANT, LONG, PURPLE, 1 KG",83.47,77.68,65.58,58.11,54.05,59.70,52.23,68.10,63.03,65.54,69.96,63.18,66.78,59.44,58.19,60.18,61.79,66.79,64.47,68.92,70.23,70.57,96.85,93.99,97.60,88.88,72.76,63.66,65.26,64.75,67.19,89.20,93.53,84.67,74.86,73.91,76.04,69.27,63.93,68.42,68.17,66.98,68.97,76.54,68.66,87.23,96.03,116.61,117.58,96.27,82.75,72.47,79.23,78.26,79.65,97.29,.,.,.,.
"..CAR - Cordillera Administrative Region","TOMATO, 1 KG",97.59,69.39,45.93,31.79,28.00,32.05,44.82,63.43,72.59,51.15,43.35,44.41,40.82,38.77,44.00,61.27,73.57,67.11,42.71,40.81,47.57,79.03,85.69,77.05,79.69,45.61,39.89,36.24,31.75,39.18,55.09,86.05,127.34,115.83,91.23,56.28,48.08,75.43,64.33,50.01,51.98,55.31,97.79,105.87,62.12,67.98,107.51,124.47,160.71,75.28,41.01,34.66,46.61,52.69,52.69,62.15,.,.,.,.
"..CAR - Cordillera Administrative Region","BITTER GOURD (AMPALAYA), FRUIT, 1 KG",110.56,105.88,79.61,66.29,60.31,67.68,71.46,89.57,80.35,88.49,85.73,84.49,86.73,86.64,87.29,86.99,84.10,93.75,93.99,91.12,88.59,91.00,118.52,116.23,117.91,120.83,108.00,92.88,89.02,85.71,89.30,119.69,131.30,120.10,100.45,89.46,95.22,94.67,89.52,95.80,98.22,101.95,107.59,105.51,89.28,102.23,115.76,134.40,128.95,107.51,97.20,88.63,88.81,92.57,97.77,119.52,.,.,.,.
"..CAR - Cordillera Administrative Region","CHAYOTE, 1 KG",28.45,25.82,24.32,22.49,24.48,25.78,28.73,34.50,42.23,33.89,31.46,28.31,30.82,31.21,30.02,28.05,28.51,30.21,29.42,31.10,32.16,31.13,34.07,40.51,41.28,43.53,42.30,37.17,38.03,43.15,45.29,46.42,61.41,49.13,41.13,36.62,35.92,37.18,35.45,35.02,41.05,46.73,38.91,39.76,38.19,37.89,44.19,49.29,42.04,40.45,35.17,33.01,34.12,38.51,37.83,44.93,.,.,.,.
"..CAR - Cordillera Administrative Region","COMMON GOURD (UPO), 1 KG",37.85,39.59,37.26,36.09,34.93,36.59,37.25,49.57,53.18,48.25,44.87,41.38,42.15,44.62,45.74,44.73,41.92,43.17,44.79,48.57,50.07,49.98,52.40,53.61,49.75,48.50,49.00,49.94,48.82,52.57,53.50,59.25,57.63,61.17,52.13,50.04,51.34,53.00,53.87,54.48,53.67,53.17,55.17,51.38,48.17,50.58,52.69,52.30,48.35,44.80,44.98,44.44,48.34,46.67,50.51,62.40,.,.,.,.
"..CAR - Cordillera Administrative Region","PATOLA, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","SQUASH, 1 KG",33.97,44.84,42.13,34.40,31.13,29.02,31.24,33.34,38.94,42.57,39.66,34.84,34.36,36.08,36.75,39.75,40.24,39.57,40.28,41.75,44.20,43.75,44.02,48.66,47.05,50.82,50.42,47.53,45.64,45.10,47.29,49.28,52.64,56.62,50.98,50.44,49.85,47.34,47.53,45.93,46.93,49.74,53.38,52.62,48.08,47.23,47.62,51.92,59.73,56.25,53.02,49.73,49.89,50.17,50.75,59.64,.,.,.,.
"..CAR - Cordillera Administrative Region","OKRA, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Abra","CUCUMBER (PIPINO), 1 KG",48.33,51.67,61.67,63.33,63.33,61.67,60.00,63.33,60.00,60.00,61.67,66.67,66.67,73.33,73.33,73.33,60.00,60.00,63.33,63.33,56.67,61.67,65.00,70.00,78.33,86.67,91.67,76.67,80.00,80.00,68.33,70.00,76.67,70.00,76.67,75.00,76.67,73.33,75.83,85.00,98.57,95.71,82.14,78.57,81.43,85.71,102.86,94.29,108.57,100.00,100.00,91.43,91.43,87.14,88.57,88.57,.,.,.,.
"....Abra","EGGPLANT, LONG, PURPLE, 1 KG",96.25,75.00,45.00,57.50,51.25,65.00,46.25,92.50,61.25,63.13,73.75,72.50,63.75,53.75,50.00,60.00,62.50,61.25,66.25,73.75,77.50,81.25,88.75,91.25,80.00,70.00,66.25,50.00,57.50,60.00,67.50,113.75,132.50,121.25,96.25,88.75,81.25,72.50,51.25,51.25,67.50,61.25,78.75,85.00,102.50,117.50,127.50,127.50,146.25,105.00,78.75,70.00,90.00,86.25,86.25,92.50,.,.,.,.
"....Abra","TOMATO, 1 KG",109.53,65.72,43.81,29.44,32.18,45.18,57.50,76.25,83.75,52.50,36.88,50.00,40.00,30.00,24.38,38.75,65.00,71.25,40.00,38.75,46.25,96.25,80.00,81.25,61.25,37.50,34.38,31.25,28.75,45.00,57.50,107.50,143.75,143.75,106.25,58.75,48.75,65.00,42.50,38.75,47.50,47.50,132.50,130.00,80.00,71.25,118.75,137.50,196.25,56.25,31.25,28.13,46.88,55.00,61.25,57.50,.,.,.,.
"....Abra","BITTER GOURD (AMPALAYA), FRUIT, 1 KG",117.50,82.50,52.50,62.50,55.00,72.50,68.75,121.25,85.00,92.50,87.50,86.25,87.50,86.25,70.00,73.75,76.25,95.00,93.75,102.50,100.00,97.50,103.75,107.50,82.50,86.25,91.25,81.25,77.50,73.75,77.50,155.00,171.25,168.75,121.25,107.50,97.50,87.50,78.75,87.50,93.75,83.75,112.50,107.50,126.25,141.25,136.25,146.25,165.00,121.25,101.25,86.25,100.00,108.75,113.75,97.50,.,.,.,.
