"Fruits: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2025 January","2025 February","2025 March","2025 April","2025 May","2025 June","2025 July","2025 August","2025 September","2025 October","2025 November","2025 December"
"..NCR - National Capital Region","FRESH FRUIT, AVOCADO, 1 KG",182.89,189.96,187.52,172.47,158.16,144.96,127.53,114.27,127.53,148.56,157.55,161.31,166.29,176.09,180.79,165.95,158.17,150.63,129.54,123.88,157.11,175.11,193.19,198.72,202.32,190.43,191.30,189.26,184.68,179.53,159.37,149.59,181.80,198.29,215.31,246.18,234.33,230.61,225.37,209.01,207.30,197.40,175.96,190.87,231.21,261.33,276.34,294.08,291.28,271.57,257.53,244.59,228.52,217.58,181.48,180.51,.,.,.,.
"..NCR - National Capital Region","FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",80.34,78.09,75.94,76.21,75.83,72.82,69.35,65.88,69.35,66.10,64.36,62.57,64.90,64.87,64.31,64.44,64.34,64.58,64.53,65.30,67.01,67.66,68.77,73.25,81.18,84.62,87.12,89.01,91.04,89.50,88.07,87.16,88.09,91.17,93.74,96.28,99.54,101.67,101.67,102.16,101.57,101.04,102.13,103.37,103.74,103.83,104.97,105.07,105.49,105.70,105.35,104.06,105.27,105.08,103.03,99.85,.,.,.,.
"..NCR - National Capital Region","FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..NCR - National Capital Region","FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..NCR - National Capital Region","FRESH FRUIT, GUAVA, BAYABAS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..NCR - National Capital Region","FRESH FRUIT, MANGO, INDIAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..NCR - National Capital Region","FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",224.91,201.32,178.23,169.12,156.32,147.66,155.03,147.03,155.03,151.32,156.15,156.12,161.57,152.71,144.08,135.49,131.32,144.36,151.10,170.26,175.31,180.07,184.91,175.41,170.57,169.66,165.85,158.23,144.70,137.88,142.83,166.38,187.85,195.37,194.88,198.07,181.89,169.60,162.36,146.28,134.39,126.69,151.57,185.50,250.28,234.62,202.16,215.43,199.42,189.27,163.14,140.92,137.85,143.63,152.43,177.24,.,.,.,.
"..NCR - National Capital Region","FRESH FRUIT, MANGO, PIKO, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..NCR - National Capital Region","FRESH FRUIT, PAPAYA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..NCR - National Capital Region","FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",72.61,72.86,72.48,72.67,68.55,64.37,65.93,64.24,65.93,67.20,66.92,69.27,69.30,66.75,66.06,67.39,68.09,69.93,71.49,71.57,71.54,70.51,72.03,72.39,74.21,76.58,77.84,76.01,75.83,76.30,74.52,78.81,81.04,82.22,84.95,86.49,87.14,83.51,83.76,81.30,81.82,83.14,83.35,84.79,87.40,89.13,92.18,92.60,93.26,92.57,93.40,94.80,92.92,92.86,95.41,93.18,.,.,.,.
