"Leafy Vegetables: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2025 January","2025 February","2025 March","2025 April","2025 May","2025 June","2025 July","2025 August","2025 September","2025 October","2025 November","2025 December"
"..NCR - National Capital Region","CABBAGE, 1 KG",188.83,136.62,75.69,65.82,60.45,70.34,91.97,167.96,91.97,108.75,107.95,79.93,71.21,53.81,55.20,66.51,76.05,68.53,64.77,64.24,76.12,87.78,110.25,129.94,97.52,82.91,72.56,71.45,71.79,84.50,129.95,141.89,141.91,161.50,110.51,72.56,62.65,64.40,66.27,67.87,69.20,76.15,74.72,65.54,69.26,96.32,122.12,117.87,88.92,83.53,75.79,97.98,106.38,90.87,87.27,157.79,.,.,.,.
"..NCR - National Capital Region","ALUGBATI, 1 KG",68.59,70.48,64.19,60.04,59.54,58.13,59.32,61.06,59.32,55.28,52.86,54.99,55.86,55.82,58.24,57.86,57.45,59.50,60.58,61.44,62.03,66.55,67.32,66.23,71.14,70.51,68.99,65.81,64.22,65.93,66.83,75.52,75.15,73.62,71.73,71.46,72.87,74.47,77.97,77.86,75.75,75.92,72.72,77.35,79.62,78.75,81.58,80.46,82.53,80.68,80.78,79.58,77.67,77.64,79.33,93.06,.,.,.,.
"..NCR - National Capital Region","KANGKONG, 1 KG",95.71,91.50,80.27,75.46,71.00,64.46,64.37,62.22,64.37,53.95,55.86,56.35,57.19,55.02,54.17,52.34,51.97,53.75,53.33,54.84,55.82,56.39,61.37,64.15,74.43,67.30,63.00,58.74,59.01,61.44,59.59,62.69,59.92,59.39,56.62,60.89,62.51,64.36,63.40,62.61,63.09,65.35,62.63,63.50,65.73,64.64,67.02,77.70,86.61,90.69,88.11,85.34,86.16,80.87,85.45,100.75,.,.,.,.
"..NCR - National Capital Region","MALUNGGAY, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..NCR - National Capital Region","PECHAY, NATIVE, 1 KG",73.73,70.90,55.44,58.07,61.35,89.10,76.99,90.37,76.99,71.40,64.84,68.24,69.59,58.34,59.39,66.20,61.41,75.04,71.43,69.70,72.95,98.92,100.09,84.69,81.23,74.41,66.34,76.56,92.65,94.48,87.61,128.48,108.31,94.47,86.85,84.70,83.34,78.88,75.54,84.00,86.22,148.47,96.51,108.88,119.10,99.72,122.00,104.27,94.94,88.73,90.16,94.31,103.52,101.91,109.11,141.50,.,.,.,.
"..CAR - Cordillera Administrative Region","CABBAGE, 1 KG",90.41,86.54,63.14,42.51,39.23,35.17,42.03,57.79,87.33,89.74,74.76,60.36,50.68,43.39,38.34,41.55,51.19,48.97,46.97,42.52,45.64,55.64,69.21,88.89,84.59,65.33,56.26,53.76,51.44,55.91,89.03,100.62,108.09,108.99,94.84,60.09,46.20,40.64,42.14,44.98,47.49,50.33,57.29,47.97,44.77,50.66,78.56,82.87,75.95,66.22,55.88,58.50,75.08,68.95,66.26,85.64,.,.,.,.
"..CAR - Cordillera Administrative Region","ALUGBATI, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","KANGKONG, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","MALUNGGAY, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","PECHAY, NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.88,30.63,29.38,21.88,21.88,27.50,32.50,35.00,35.00,51.88,57.50,48.75,40.63,41.88,43.13,41.88,46.88,47.50,49.38,50.63,45.00,38.13,40.00,40.00,43.13,38.75,37.50,36.25,40.00,43.75,41.25,40.63,41.25,.,.,.,.
