"Rootcrops: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2025 January","2025 February","2025 March","2025 April","2025 May","2025 June","2025 July","2025 August","2025 September","2025 October","2025 November","2025 December"
"..NCR - National Capital Region","CARROT, 1 KG",134.12,113.73,82.14,68.56,65.97,65.83,72.28,119.91,72.28,91.45,127.68,96.44,84.97,85.96,101.24,89.71,85.42,82.07,88.00,110.69,139.70,136.69,129.96,112.92,91.76,79.56,75.45,74.31,76.86,85.36,157.11,170.90,161.43,153.19,144.00,113.33,107.17,99.93,117.35,108.30,102.09,111.04,141.80,135.09,117.51,138.93,176.40,170.36,157.89,110.42,93.61,85.29,89.40,95.51,114.48,229.14,.,.,.,.
"..NCR - National Capital Region","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..NCR - National Capital Region","RADDISH (LABANOS), 1 KG",91.99,93.22,90.34,90.23,81.60,78.11,79.02,117.73,79.02,98.53,68.28,68.13,75.20,68.95,70.63,73.82,74.03,74.18,76.05,72.85,74.49,78.84,104.59,111.70,102.81,86.66,96.69,89.25,98.17,107.06,99.06,117.76,111.24,114.38,93.69,81.94,85.36,98.83,95.43,89.20,107.79,121.84,100.45,109.37,114.23,132.91,119.21,111.42,95.08,87.33,88.12,98.52,108.03,112.76,113.41,168.47,.,.,.,.
"..NCR - National Capital Region","POTATO, 1 KG",121.90,92.24,68.45,59.66,56.68,55.90,58.30,70.82,58.30,85.10,84.46,82.02,80.79,72.64,66.23,67.71,73.73,76.70,80.49,79.11,78.47,89.71,118.86,143.93,140.14,126.39,110.64,106.13,98.56,101.73,113.96,136.93,160.99,195.49,167.99,153.03,130.54,119.15,123.13,114.34,109.84,137.65,117.49,102.81,97.80,96.81,113.85,150.78,166.29,137.09,112.86,95.80,89.00,87.74,87.51,100.48,.,.,.,.
"..NCR - National Capital Region","SWEET POTATO (CAMOTE), 1 KG",48.84,48.17,50.32,50.11,50.56,49.59,48.68,57.35,48.68,58.28,59.48,60.31,66.35,62.40,59.34,57.95,58.38,58.93,58.90,60.02,65.85,68.59,67.51,68.01,68.81,70.47,67.86,71.28,74.04,76.46,81.13,87.41,85.50,84.50,82.93,82.93,82.42,78.93,73.89,73.80,75.15,76.01,77.87,92.01,94.39,90.67,86.26,83.32,79.66,79.46,77.52,74.65,73.76,72.50,76.32,86.07,.,.,.,.
"..NCR - National Capital Region","GABI TUBERS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","CARROT, 1 KG",89.73,88.28,77.42,59.94,55.04,51.70,54.26,66.60,83.74,74.94,79.38,84.87,77.30,70.29,79.24,75.07,75.51,68.77,67.90,75.54,90.10,96.33,104.62,96.82,85.73,68.19,62.43,62.12,63.05,63.19,88.08,112.63,125.08,108.74,108.98,88.69,76.78,75.47,90.81,92.82,87.27,87.26,95.73,105.91,81.61,83.93,109.49,114.68,126.60,98.65,83.34,70.70,68.99,70.99,72.23,109.85,.,.,.,.
"..CAR - Cordillera Administrative Region","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..CAR - Cordillera Administrative Region","POTATO, 1 KG",75.58,79.56,71.47,61.75,55.22,49.62,49.73,64.43,67.04,66.84,75.62,77.10,69.13,67.71,63.45,61.97,65.93,67.85,67.90,68.35,70.74,74.65,87.46,100.15,117.23,108.35,95.46,90.36,90.18,89.95,94.69,106.81,124.26,141.09,155.48,132.63,120.70,108.71,111.08,112.35,104.65,116.88,115.13,108.26,90.88,87.45,93.70,110.25,119.49,110.50,100.80,90.00,84.29,82.11,80.27,85.36,.,.,.,.
